source,listing_type,title,price,location,bedrooms,bathrooms,size_sqm,property_type,url,scraped_at,price_num,size_num,bedrooms_num,bathrooms_num,price_per_sqm,bed_bath_ratio
Property24,Sale,,KSh 7 000 000,"Westlands Rd Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116918962,2026-02-17T14:49:22.804967,7.0,,,,,
Property24,Sale,,KSh 4 720 000,"Lower Kabete Nairobi, Lower Kabete, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-lower-kabete-116909742,2026-02-17T14:49:22.810732,4.0,,,,,
Property24,Sale,,KSh 6 200 000,"Ring Rd Parklands Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116925935,2026-02-17T14:49:22.814179,6.0,,,,,
Property24,Sale,,KSh 30 000 000,"Lavington Kileleshwa, Lavington, Nairobi",,,,,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-lavington-116908390,2026-02-17T14:49:22.817199,30.0,,,,,
Property24,Sale,,KSh 8 000 000,"Mombasa Road Nairobi, Syokimau, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-syokimau-116922830,2026-02-17T14:49:22.820668,8.0,,,,,
Property24,Sale,,KSh 25 000 000,"Kilimani Nairobi, Kilimani, Nairobi",,,,,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-kilimani-116908355,2026-02-17T14:49:22.827202,25.0,,,,,
Property24,Sale,,KSh 8 800 000,"Westlands, Westlands, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-101757335,2026-02-17T14:49:22.830644,8.0,,,,,
Property24,Sale,,KSh 7 000 000,"Westlands Rd Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116918976,2026-02-17T14:49:22.834647,7.0,,,,,
Property24,Sale,,KSh 8 000 000,"Mombasa Road Nairobi, Syokimau, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-syokimau-116922950,2026-02-17T14:49:22.837505,8.0,,,,,
Property24,Sale,,KSh 15 500 000,"Rhapta Road Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116931304,2026-02-17T14:49:22.842436,15.0,,,,,
Property24,Sale,,KSh 11 800 000,"Mogotio Rd Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116926805,2026-02-17T14:49:22.845616,11.0,,,,,
Property24,Sale,,KSh 14 800 000,"Mogotio Rd Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116926783,2026-02-17T14:49:22.848587,14.0,,,,,
Property24,Sale,,KSh 22 680 000,"Mogotio Rd Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116926682,2026-02-17T14:49:22.851552,22.0,,,,,
Property24,Sale,,KSh 15 500 000,"Rhapta Road Nairobi, Westlands, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116931332,2026-02-17T14:49:22.854432,15.0,,,,,
Property24,Sale,,KSh 24 500 000,"31 Othaya Rd, Kileleshwa, Nairobi",,,,,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-kileleshwa-116929044,2026-02-17T14:49:22.860013,24.0,,,,,
Property24,Sale,,KSh 8 800 000,"Westlands, Westlands, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116904926,2026-02-17T14:49:22.862810,8.0,,,,,
Property24,Sale,,KSh 7 150 000,"Ring Road Kileleshwa Nairobi, Kileleshwa, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116905775,2026-02-17T14:49:22.866052,7.0,,,,,
Property24,Sale,,KSh 7 150 000,"Ring Road Kileleshwa Nairobi, Kileleshwa, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116905765,2026-02-17T14:49:22.869120,7.0,,,,,
Property24,Sale,,KSh 7 150 000,"Ring Road Kileleshwa Nairobi, Kileleshwa, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116905758,2026-02-17T14:49:30.817092,7.0,,,,,
Property24,Sale,,KSh 5 110 000,"Ring Road Kileleshwa Nairobi, Kileleshwa, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kileleshwa-116905752,2026-02-17T14:49:30.822236,5.0,,,,,
Property24,Sale,,KSh 5 110 000,"Ring Road Kileleshwa Nairobi, Kileleshwa, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kileleshwa-116905743,2026-02-17T14:49:30.829860,5.0,,,,,
Property24,Sale,,KSh 5 110 000,"Ring Road Kileleshwa Nairobi, Kileleshwa, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kileleshwa-116905729,2026-02-17T14:49:30.835351,5.0,,,,,
Property24,Sale,,KSh 9 000 000,"Westlands, Westlands, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116907406,2026-02-17T14:49:30.842368,9.0,,,,,
Property24,Sale,,KSh 85 000 000,"Westlands Highridge, Westlands, Nairobi",,,,,https://www.property24.co.ke/4-bedroom-townhouse-for-sale-in-westlands-116904319,2026-02-17T14:49:30.849645,85.0,,,,,
Property24,Sale,,KSh 14 000 000,"Westlands Highridge, Westlands, Nairobi",,,,,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116904268,2026-02-17T14:49:30.856647,14.0,,,,,
Property24,Sale,,KSh 6 500 000,"Kilimani, Kilimani, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kilimani-116907481,2026-02-17T14:49:30.864543,6.0,,,,,
Property24,Sale,,KSh 6 000 000,"Kilimani, Kilimani, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kilimani-116907467,2026-02-17T14:49:30.869116,6.0,,,,,
Property24,Sale,,KSh 6 000 000,"Kilimani Nairobi, Kilimani, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kilimani-116907445,2026-02-17T14:49:30.873885,6.0,,,,,
Property24,Sale,,KSh 5 500 000,"Kilimani, Kilimani, Nairobi",,,,,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kilimani-116907433,2026-02-17T14:49:30.877810,5.0,,,,,
Property24,Sale,,KSh 11 500 000,"Syokimau Nairobi, Syokimau, Nairobi",,,,,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-syokimau-116904284,2026-02-17T14:49:30.880634,11.0,,,,,
