source,listing_type,title,price,location,bedrooms,bathrooms,size_sqm,property_type,url,scraped_at
PigiaMe,Rent,"Lavington, Valley Arcade",,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=lavington-valley-arcade,2026-02-17T14:56:05.081405
PigiaMe,Rent,Loresho,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=loresho,2026-02-17T14:56:05.081685
PigiaMe,Rent,Lower Kabete,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=lower-kabete,2026-02-17T14:56:05.081927
PigiaMe,Rent,Mlolongo,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=mlolongo,2026-02-17T14:56:05.082172
PigiaMe,Rent,Muthaiga,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=muthaiga,2026-02-17T14:56:05.082418
PigiaMe,Rent,Ngara,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=ngara,2026-02-17T14:56:05.082652
PigiaMe,Rent,Ngong,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=ngong,2026-02-17T14:56:05.082886
PigiaMe,Rent,Ngong Road,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=ngong-road,2026-02-17T14:56:05.083117
PigiaMe,Rent,Nyari,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=nyari,2026-02-17T14:56:05.083379
PigiaMe,Rent,Other Nairobi,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=other-nairobi,2026-02-17T14:56:05.083728
PigiaMe,Rent,Parklands,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=parklands,2026-02-17T14:56:05.083967
PigiaMe,Rent,"Ridgeways, Fourways Junction",,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=ridgeways-fourways-junction,2026-02-17T14:56:05.084212
PigiaMe,Rent,Riruta,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=riruta,2026-02-17T14:56:05.084577
PigiaMe,Rent,Roselyn,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=rosslyn,2026-02-17T14:56:05.085052
PigiaMe,Rent,Roysambu,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=roysambu,2026-02-17T14:56:05.085284
PigiaMe,Rent,Ruaka,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=ruaka,2026-02-17T14:56:05.085516
PigiaMe,Rent,Runda,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=runda,2026-02-17T14:56:05.085798
PigiaMe,Rent,South C,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=south-c,2026-02-17T14:56:05.086035
PigiaMe,Rent,Spring Valley,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=spring-valley,2026-02-17T14:56:05.086502
PigiaMe,Rent,Upper Hill,,,,,,,https://www.pigiame.co.ke/apartments-for-rent/nairobi?location=upper-hill,2026-02-17T14:56:05.086756
PigiaMe,Rent,Furnished 2 Bed Apartment with En Suite in Rosslyn,"KSh 220,000","Roselyn, Nairobi",2 bed,,,,https://www.pigiame.co.ke/listings/furnished-2-bed-apartment-with-en-suite-in-rosslyn-5836492,2026-02-17T14:56:14.399125
PigiaMe,Rent,Furnished 2 Bed Apartment with En Suite in Rosslyn,"KSh 220,000","Roselyn, Nairobi",2 bed,,,,,2026-02-17T14:56:14.407485
PigiaMe,Rent,Serviced 2 Bed Apartment with En Suite at Mkungu Close,"KSh 260,000","Westlands, Nairobi",2 bed,,,,https://www.pigiame.co.ke/listings/serviced-2-bed-apartment-with-en-suite-at-mkungu-close-3949407,2026-02-17T14:56:14.457142
PigiaMe,Rent,Serviced 2 Bed Apartment with En Suite at Mkungu Close,"KSh 260,000","Westlands, Nairobi",2 bed,,,,,2026-02-17T14:56:14.460772
PigiaMe,Rent,2 Bed Apartment with Swimming Pool in Westlands Area,"KSh 170,000","Westlands, Nairobi",2 bed,,,,https://www.pigiame.co.ke/listings/2-bed-apartment-with-swimming-pool-in-westlands-area-6355911,2026-02-17T14:56:14.517019
PigiaMe,Rent,2 Bed Apartment with Swimming Pool in Westlands Area,"KSh 170,000","Westlands, Nairobi",2 bed,,,,,2026-02-17T14:56:14.520113
PigiaMe,Rent,3 Bed Apartment with En Suite at Peponi Rd,"KSh 250,000","Spring Valley, Nairobi",3 bed,,,,https://www.pigiame.co.ke/listings/3-bed-apartment-with-en-suite-at-peponi-rd-5104335,2026-02-17T14:56:14.562894
PigiaMe,Rent,3 Bed Apartment with En Suite at Peponi Rd,"KSh 250,000","Spring Valley, Nairobi",3 bed,,,,,2026-02-17T14:56:14.567224
PigiaMe,Rent,5 Bed Apartment with En Suite at Oloitoktok Road,"KSh 350,000","Kileleshwa, Nairobi",5 bed,,,,https://www.pigiame.co.ke/listings/5-bed-apartment-with-en-suite-at-oloitoktok-road-6332470,2026-02-17T14:56:14.615051
PigiaMe,Rent,5 Bed Apartment with En Suite at Oloitoktok Road,"KSh 350,000","Kileleshwa, Nairobi",5 bed,,,,,2026-02-17T14:56:14.619145
PigiaMe,Rent,3 Bed Apartment with En Suite at Westlands,"KSh 300,000","Westlands, Nairobi",3 bed,,,,https://www.pigiame.co.ke/listings/3-bed-apartment-with-en-suite-at-westlands-5303833,2026-02-17T14:56:14.666307
PigiaMe,Rent,3 Bed Apartment with En Suite at Westlands,"KSh 300,000","Westlands, Nairobi",3 bed,,,,,2026-02-17T14:56:14.681800
PigiaMe,Rent,3 bedroom apartment for rent in Riverside,"KSh 200,000","Riverside, Nairobi",3 bed,,,,https://www.pigiame.co.ke/listings/3-bedroom-apartment-for-rent-in-riverside-4029061,2026-02-17T14:56:14.781663
PigiaMe,Rent,3 bedroom apartment for rent in Riverside,"KSh 200,000","Riverside, Nairobi",3 bed,,,,https://www.pigiame.co.ketel:+254735119488,2026-02-17T14:56:14.785086
PigiaMe,Rent,3 bedroom apartment for rent in Riverside,"KSh 200,000","Riverside, Nairobi",3 bed,,,,,2026-02-17T14:56:14.786013
PigiaMe,Rent,Furnished 2 Bed Apartment with En Suite at Mkungu Close,"KSh 190,000","Westlands, Nairobi",2 bed,,,,https://www.pigiame.co.ke/listings/furnished-2-bed-apartment-with-en-suite-at-mkungu-close-6494341,2026-02-17T14:56:14.802386
PigiaMe,Rent,Furnished 2 Bed Apartment with En Suite at Mkungu Close,"KSh 190,000","Westlands, Nairobi",2 bed,,,,,2026-02-17T14:56:14.821562
PigiaMe,Rent,Furnished 2 Bed Apartment with En Suite in Westlands Area,"KSh 200,000","Westlands, Nairobi",2 bed,,,,https://www.pigiame.co.ke/listings/furnished-2-bed-apartment-with-en-suite-in-westlands-area-5864486,2026-02-17T14:56:14.919127
